,id,description
75,anl14_high_ebitda_fy3,"The Highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 3 years"
76,anl14_high_ebitda_fy4,"The Highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 4 years"
77,anl14_high_ebitda_fy5,"The Highest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 5 years"
78,anl14_high_eps_fp1,The Highest estimation of Earnings Per Share - upcoming quarter
79,anl14_high_eps_fp2,The Highest estimation of Earnings Per Share - upcoming 2 quarters
80,anl14_high_eps_fp3,The Highest estimation of Earnings Per Share - upcoming 3 quarters
81,anl14_high_eps_fp4,The Highest estimation of Earnings Per Share - upcoming 4 quarters
82,anl14_high_eps_fp5,The Highest estimation of Earnings Per Share - upcoming 5 quarters
83,anl14_high_eps_fy1,The Highest estimation of Earnings Per Share - upcoming year
84,anl14_high_eps_fy2,The Highest estimation of Earnings Per Share - upcoming 2 years
85,anl14_high_eps_fy3,The Highest estimation of Earnings Per Share - upcoming 3 years
86,anl14_high_eps_fy4,The Highest estimation of Earnings Per Share - upcoming 4 years
87,anl14_high_eps_fy5,The Highest estimation of Earnings Per Share - upcoming 5 years
88,anl14_high_epsrep_fp1,The Highest estimation of Reported Earnings Per Share - upcoming quarter
89,anl14_high_epsrep_fp2,The Highest estimation of Reported Earnings Per Share - upcoming 2 quarters
90,anl14_high_epsrep_fp3,The Highest estimation of Reported Earnings Per Share - upcoming 3 quarters
91,anl14_high_epsrep_fp4,The Highest estimation of Reported Earnings Per Share - upcoming 4 quarters
92,anl14_high_epsrep_fp5,The Highest estimation of Reported Earnings Per Share - upcoming 5 quarters
93,anl14_high_epsrep_fy1,The Highest estimation of Reported Earnings Per Share - upcoming year
94,anl14_high_epsrep_fy2,The Highest estimation of Reported Earnings Per Share - upcoming 2 years
95,anl14_high_epsrep_fy3,The Highest estimation of Reported Earnings Per Share - upcoming 3 years
96,anl14_high_epsrep_fy4,The Highest estimation of Reported Earnings Per Share - upcoming 4 years
97,anl14_high_epsrep_fy5,The Highest estimation of Reported Earnings Per Share - upcoming 5 years
98,anl14_high_nav_fy1,The Highest estimation of Net asset value - upcoming year
99,anl14_high_nav_fy2,The Highest estimation of Net asset value - upcoming 2 years
100,anl14_high_nav_fy3,The Highest estimation of Net asset value - upcoming 3 years
101,anl14_high_ndebt_fp1,The Highest estimation of Net debt - upcoming quarter
102,anl14_high_ndebt_fp2,The Highest estimation of Net debt - upcoming 2 quarters
103,anl14_high_ndebt_fp3,The Highest estimation of Net debt - upcoming 3 quarters
104,anl14_high_ndebt_fp4,The Highest estimation of Net debt - upcoming 4 quarters
105,anl14_high_ndebt_fy1,The Highest estimation of Net debt - upcoming year
106,anl14_high_ndebt_fy2,The Highest estimation of Net debt - upcoming 2 years
107,anl14_high_ndebt_fy3,The Highest estimation of Net debt - upcoming 3 years
108,anl14_high_ndebt_fy4,The Highest estimation of Net debt - upcoming 4 years
109,anl14_high_ndebt_fy5,The Highest estimation of Net debt - upcoming 5 years
110,anl14_high_ntp_fp1,The Highest estimation of Net profit - upcoming quarter
111,anl14_high_ntp_fp2,The Highest estimation of Net profit - upcoming 2 quarters
112,anl14_high_ntp_fp3,The Highest estimation of Net profit - upcoming 3 quarters
113,anl14_high_ntp_fp4,The Highest estimation of Net profit - upcoming 4 quarters
114,anl14_high_ntp_fp5,The Highest estimation of Net profit - upcoming 5 quarters
115,anl14_high_ntp_fy1,The Highest estimation of Net profit - upcoming year
116,anl14_high_ntp_fy2,The Highest estimation of Net profit - upcoming 2 years
117,anl14_high_ntp_fy3,The Highest estimation of Net profit - upcoming 3 years
118,anl14_high_ntp_fy4,The Highest estimation of Net profit - upcoming 4 years
119,anl14_high_ntp_fy5,The Highest estimation of Net profit - upcoming 5 years
120,anl14_high_ntprep_fp1,The Highest estimation of Reported Net Profit - upcoming quarter
121,anl14_high_ntprep_fp2,The Highest estimation of Reported Net Profit - upcoming 2 quarters
122,anl14_high_ntprep_fp3,The Highest estimation of Reported Net Profit - upcoming 3 quarters
123,anl14_high_ntprep_fp4,The Highest estimation of Reported Net Profit - upcoming 4 quarters
124,anl14_high_ntprep_fp5,The Highest estimation of Reported Net Profit - upcoming 5 quarters
125,anl14_high_ntprep_fy1,The Highest estimation of Reported Net Profit - upcoming year
126,anl14_high_ntprep_fy2,The Highest estimation of Reported Net Profit - upcoming 2 years
127,anl14_high_ntprep_fy3,The Highest estimation of Reported Net Profit - upcoming 3 years
128,anl14_high_ntprep_fy4,The Highest estimation of Reported Net Profit - upcoming 4 years
129,anl14_high_ntprep_fy5,The Highest estimation of Reported Net Profit - upcoming 5 years
130,anl14_high_opp_fp1,The Highest estimation of Operating Profit - upcoming quarter
131,anl14_high_opp_fy1,The Highest estimation of Operating Profit - upcoming year
132,anl14_high_opp_fy2,The Highest estimation of Operating Profit - upcoming 2 years
133,anl14_high_opp_fy3,The Highest estimation of Operating Profit - upcoming 3 years
134,anl14_high_ptp_fp1,The Highest estimation of Pretax Profit - upcoming quarter
