,id,description
81,mdl211_salq_q1_madp,Mean of absolute deviation of predicted values for Q1 sales
82,mdl211_salq_q1_mae,Mean of absolute error of the model of a particular stock for Q1 sales
83,mdl211_salq_q1_predict,Predicted value of Q1 sales
84,mdl211_salq_q2_mada,Mean of absolute deviation of scaled actual values for Q2 sales
85,mdl211_salq_q2_madp,Mean of absolute deviation of predicted values for Q2 sales
86,mdl211_salq_q2_mae,Mean of absolute error of the model of a particular stock for Q2 sales
87,mdl211_salq_q2_predict,Predicted value of Q2 sales
88,mdl211_salq_q3_mada,Mean of absolute deviation of scaled actual values for Q3 sales
89,mdl211_salq_q3_madp,Mean of absolute deviation of predicted values for Q3 sales
90,mdl211_salq_q3_mae,Mean of absolute error of the model of a particular stock for Q3 sales
91,mdl211_salq_q3_predict,Predicted value of Q3 sales
92,mdl211_salq_q4_mada,Mean of absolute deviation of scaled actual values for Q4 sales
93,mdl211_salq_q4_madp,Mean of absolute deviation of predicted values for Q4 sales
94,mdl211_salq_q4_mae,Mean of absolute error of the model of a particular stock for Q4 sales
95,mdl211_salq_q4_predict,Predicted value of Q4 sales
