,id,description
0,oth432_acae_mae,Mean Average Error of the model of Cash & Equivalents
1,oth432_acae_predict,Predict value of Cash & Equivalents
2,oth432_aint_mae,"Mean Average Error of the model of Intangibles, Net"
3,oth432_aint_predict,"Predict value of Intangibles, Net"
4,oth432_appn_mae,"Mean Average Error of the model of Property/Plant/Equipment, Total - Net"
5,oth432_appn_predict,"Predict value of Property/Plant/Equipment, Total - Net"
6,oth432_apq_mae,Mean Average Error of the model of Account Payable/Creditors - Trade of Account Payable/Creditors - Trade
7,oth432_apq_predict,Predict value of Account Payable/Creditors - Trade of Account Payable/Creditors - Trade
8,oth432_assets_otlo_mae,Mean Average Error of the model of Cash from Operating Activities
9,oth432_assets_otlo_predict,Predict value of Cash from Operating Activities
10,oth432_atca_mae,Mean Average Error of the model of Total Current Assets
11,oth432_atca_predict,Predict value of Total Current Assets
12,oth432_atot_mae,Mean Average Error of the model of Total Assets
13,oth432_atot_predict,Predict value of Total Assets
14,oth432_atrc_mae,"Mean Average Error of the model of Total Receivables, Net"
15,oth432_atrc_predict,"Predict value of Total Receivables, Net"
16,oth432_capital_otlo_predict,Predict value of Cash from Operating Activities
17,oth432_cash_otlo_mae,Mean Average Error of the model of Cash from Operating Activities
18,oth432_cash_otlo_predict,Predict value of Cash from Operating Activities
19,oth432_cash_rtlr_mae,Mean Average Error of the model of Total Revenue
20,oth432_cash_rtlr_predict,Predict value of Total Revenue
21,oth432_cashflows_otlo_mae,Mean Average Error of the model of Cash from Operating Activities
22,oth432_cashflows_otlo_predict,Predict value of Cash from Operating Activities
23,oth432_cashflows_rtlr_mae,Mean Average Error of the model of Total Revenue
24,oth432_cashflows_rtlr_predict,Predict value of Total Revenue
25,oth432_cheq_mae,Mean Average Error of the model of Cash and Short-Term Investments of Cash and Short-Term Investments
26,oth432_cheq_predict,Predict value of Cash and Short-Term Investments of Cash and Short-Term Investments
27,oth432_ciac_mae,Mean Average Error of the model of Income Available to Com Excl ExtraOrd
28,oth432_ciac_predict,Predict value of Income Available to Com Excl ExtraOrd
