,id,description
0,oth452_accrualsratio_d1_asset_change,Accruals ratio d1 asset change
1,oth452_deferred_tax_expense_11,Deferred tax expense
2,oth452_deferred_tax_expense_12,Deferred tax expense
3,oth452_deferred_tax_expense_21,Deferred tax expense
4,oth452_deferred_tax_expense_22,Deferred tax expense
5,oth452_deferred_tax_expense_31,Deferred tax expense
6,oth452_deferred_tax_expense_41,Deferred tax expense
7,oth452_deferred_tax_expense_51,Deferred tax expense
8,oth452_deferred_tax_liability_11,Deferred tax liability
9,oth452_deferred_tax_liability_12,Deferred tax liability
10,oth452_deferred_tax_liability_13,Deferred tax liability
11,oth452_deferred_tax_liability_21,Deferred tax liability
12,oth452_deferred_tax_liability_22,Deferred tax liability
13,oth452_deferred_tax_liability_31,Deferred tax liability
14,oth452_deferred_tax_liability_41,Deferred tax liability
15,oth452_deferred_tax_liability_51,Deferred tax liability
16,oth452_expense_d1_asset_change,Expense d1 asset change
17,oth452_liability_d1_asset_change,Liability d1 asset change
18,oth452_liability_d1_dts,Liability d1 distributions
19,oth452_liability_d1_length,Liability d1 length
20,oth452_liability_d1_max,Liability d1 max
21,oth452_liability_d1_mean,Liability d1 mean
22,oth452_liability_d1_min,Liability d1 min
