,id,description
72,anl69_cps_best_crncy_iso,No field description
73,anl69_cps_best_cur_fiscal_qtr_period,No field description
74,anl69_cps_best_cur_fiscal_semi_year_period,No field description
75,anl69_cps_best_cur_fiscal_year_period,No field description
76,anl69_cps_best_eeps_cur_yr,No field description
77,anl69_cps_best_eeps_nxt_yr,No field description
80,anl69_cps_expected_report_dt,No field description
81,anl69_cps_expected_report_time,No field description
94,anl69_cpss_best_crncy_iso,No field description
95,anl69_cpss_best_cur_fiscal_qtr_period,No field description
96,anl69_cpss_best_cur_fiscal_semi_year_period,No field description
97,anl69_cpss_best_cur_fiscal_year_period,No field description
98,anl69_cpss_best_eeps_cur_yr,No field description
99,anl69_cpss_best_eeps_nxt_yr,No field description
102,anl69_cpss_expected_report_dt,No field description
103,anl69_cpss_expected_report_time,No field description
106,anl69_dps_best_crncy_iso,No field description
107,anl69_dps_best_cur_fiscal_qtr_period,No field description
108,anl69_dps_best_cur_fiscal_semi_year_period,No field description
109,anl69_dps_best_cur_fiscal_year_period,No field description
119,anl69_dps_best_eeps_cur_yr,No field description
120,anl69_dps_best_eeps_nxt_yr,No field description
123,anl69_dps_expected_report_dt,No field description
124,anl69_dps_expected_report_time,No field description
127,anl69_dpss_best_crncy_iso,No field description
128,anl69_dpss_best_cur_fiscal_qtr_period,No field description
129,anl69_dpss_best_cur_fiscal_semi_year_period,No field description
130,anl69_dpss_best_cur_fiscal_year_period,No field description
140,anl69_dpss_best_eeps_cur_yr,No field description
141,anl69_dpss_best_eeps_nxt_yr,No field description
144,anl69_dpss_expected_report_dt,No field description
145,anl69_dpss_expected_report_time,No field description
148,anl69_ebit_best_crncy_iso,No field description
149,anl69_ebit_best_cur_fiscal_qtr_period,No field description
150,anl69_ebit_best_cur_fiscal_semi_year_period,No field description
151,anl69_ebit_best_cur_fiscal_year_period,No field description
152,anl69_ebit_best_eeps_cur_yr,No field description
153,anl69_ebit_best_eeps_nxt_yr,No field description
156,anl69_ebit_expected_report_dt,No field description
157,anl69_ebit_expected_report_time,No field description
160,anl69_eps_best_crncy_iso,No field description
161,anl69_eps_best_cur_fiscal_qtr_period,No field description
162,anl69_eps_best_cur_fiscal_semi_year_period,No field description
163,anl69_eps_best_cur_fiscal_year_period,No field description
164,anl69_eps_best_eeps_cur_yr,No field description
165,anl69_eps_best_eeps_nxt_yr,No field description
180,anl69_eps_expected_report_dt,No field description
181,anl69_eps_expected_report_time,No field description
184,anl69_epss_best_crncy_iso,No field description
185,anl69_epss_best_cur_fiscal_qtr_period,No field description
186,anl69_epss_best_cur_fiscal_semi_year_period,No field description
187,anl69_epss_best_cur_fiscal_year_period,No field description
188,anl69_epss_best_eeps_cur_yr,No field description
189,anl69_epss_best_eeps_nxt_yr,No field description
203,anl69_epss_expected_report_dt,No field description
204,anl69_epss_expected_report_time,No field description
205,anl69_ndebt_best_crncy_iso,No field description
206,anl69_ndebt_best_cur_fiscal_qtr_period,No field description
207,anl69_ndebt_best_cur_fiscal_semi_year_period,No field description
208,anl69_ndebt_best_cur_fiscal_year_period,No field description
209,anl69_ndebt_best_eeps_cur_yr,No field description
210,anl69_ndebt_best_eeps_nxt_yr,No field description
213,anl69_ndebt_expected_report_dt,No field description
214,anl69_ndebt_expected_report_time,No field description
217,anl69_net_best_crncy_iso,No field description
218,anl69_net_best_cur_fiscal_qtr_period,No field description
219,anl69_net_best_cur_fiscal_semi_year_period,No field description
220,anl69_net_best_cur_fiscal_year_period,No field description
221,anl69_net_best_eeps_cur_yr,No field description
222,anl69_net_best_eeps_nxt_yr,No field description
225,anl69_net_expected_report_dt,No field description
226,anl69_net_expected_report_time,No field description
229,anl69_pe_best_crncy_iso,No field description
230,anl69_pe_best_cur_fiscal_qtr_period,No field description
231,anl69_pe_best_cur_fiscal_semi_year_period,No field description
232,anl69_pe_best_cur_fiscal_year_period,No field description
233,anl69_pe_best_eeps_cur_yr,No field description
234,anl69_pe_best_eeps_nxt_yr,No field description
236,anl69_pe_expected_report_dt,No field description
237,anl69_pe_expected_report_time,No field description
238,anl69_roa_best_crncy_iso,No field description
239,anl69_roa_best_cur_fiscal_qtr_period,No field description
240,anl69_roa_best_cur_fiscal_semi_year_period,No field description
241,anl69_roa_best_cur_fiscal_year_period,No field description
242,anl69_roa_best_eeps_cur_yr,No field description
243,anl69_roa_best_eeps_nxt_yr,No field description
246,anl69_roa_expected_report_dt,No field description
247,anl69_roa_expected_report_time,No field description
250,anl69_roe_best_crncy_iso,No field description
