,id,description
0,act_12m_bps_value,actual book value per share regarding the last 4 quarters
1,act_12m_cps_value,actual cash flow per share regarding the last 4 quarters
2,act_12m_cpx_value,actual capital expenditure regarding the last 4 quarters
3,act_12m_dps_value,actual dividend per share regarding the last 4 quarters
4,act_12m_ebi_value,actual EBIT regarding the last 4 quarters
5,act_12m_ebt_value,actual EBITDA regarding the last 4 quarters
6,act_12m_eps_value,actual earnings per share regarding the last 4 quarters
7,act_12m_gps_value,actual GAAP earnings per share regarding the last 4 quarters
8,act_12m_grm_value,actual gross margin in percent regarding the last 4 quarters
9,act_12m_nav_value,actual net asset value regarding the last 4 quarters
10,act_12m_ner_value,actual net profit as reported regarding the last 4 quarters
11,act_12m_net_value,actual net income regarding the last 4 quarters
12,act_12m_opr_value,actual operating profit regarding the last 4 quarters
13,act_12m_pre_value,actual pre-tax profit regarding the last 4 quarters
14,act_12m_prr_value,actual pretax profit as reported regarding the last 4 quarters
15,act_12m_roa_value,actual return on assets in percent regarding the last 4 quarters
16,act_12m_roe_value,actual return on equity in percent regarding the last 4 quarters
17,act_12m_sal_value,actual sales/revenue regarding the last 4 quarters
18,act_q_afo_surprisenum,Number of estimates used for surprise calc of actual adjusted funds from operations per share regarding the last quarter
19,act_q_bps_surprisemean,Mean surprise (actual - estimate) of actual book value per share regarding the last quarter
20,act_q_bps_surprisenum,Number of estimates used for surprise calc of actual book value per share regarding the last quarter
21,act_q_bps_surprisestd,Standard deviation of surprise (actual - estimate) of actual book value per share regarding the last quarter
22,act_q_bps_value,actual book value per share regarding the last quarter
23,act_q_cps_surprisemean,Mean surprise (actual - estimate) of actual cash flow per share regarding the last quarter
24,act_q_cps_surprisenum,Number of estimates used for surprise calc of actual cash flow per share regarding the last quarter
25,act_q_cps_surprisestd,Standard deviation of surprise (actual - estimate) of actual cash flow per share regarding the last quarter
26,act_q_cps_value,actual cash flow per share regarding the last quarter
27,act_q_cpx_surprisemean,Mean surprise (actual - estimate) of actual capital expenditure regarding the last quarter
28,act_q_cpx_surprisenum,Number of estimates used for surprise calc of actual capital expenditure regarding the last quarter
29,act_q_cpx_surprisestd,Standard deviation of surprise (actual - estimate) of actual capital expenditure regarding the last quarter
30,act_q_cpx_value,actual capital expenditure regarding the last quarter
31,act_q_csh_surprisenum,Number of estimates used for surprise calc of actual cash earnings per share regarding the last quarter
32,act_q_dps_surprisemean,Mean surprise (actual - estimate) of actual dividend per share regarding the last quarter
33,act_q_dps_surprisenum,Number of estimates used for surprise calc of actual dividend per share regarding the last quarter
