,id,description
334,anl69_eps_gaap_4wk_chg_best_crncy_iso,Currency (ISO)
335,anl69_eps_gaap_4wk_chg_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
336,anl69_eps_gaap_4wk_chg_best_cur_fiscal_year_period,Current Fiscal Year Period Date
337,anl69_eps_gaap_4wk_chg_best_eeps_cur_yr,Est Earnings per share Curr Year
338,anl69_eps_gaap_4wk_chg_best_eeps_nxt_yr,Est Earnings per share Next Year
341,anl69_eps_gaap_4wk_chg_expected_report_dt,Expected Earnings Report Date
342,anl69_eps_gaap_4wk_chg_expected_report_time,Expected Earnings Report Time
343,anl69_eps_gaap_best_crncy_iso,Currency (ISO)
344,anl69_eps_gaap_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
345,anl69_eps_gaap_best_cur_fiscal_year_period,Current Fiscal Year Period Date
346,anl69_eps_gaap_best_eeps_cur_yr,Est Earnings per share Curr Year
347,anl69_eps_gaap_best_eeps_nxt_yr,Est Earnings per share Next Year
355,anl69_eps_gaap_expected_report_dt,Expected Earnings Report Date
356,anl69_eps_gaap_expected_report_time,Expected Earnings Report Time
357,anl69_eps_gaap_hi_best_crncy_iso,Currency (ISO)
358,anl69_eps_gaap_hi_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
359,anl69_eps_gaap_hi_best_cur_fiscal_year_period,Current Fiscal Year Period Date
360,anl69_eps_gaap_hi_best_eeps_cur_yr,Est Earnings per share Curr Year
361,anl69_eps_gaap_hi_best_eeps_nxt_yr,Est Earnings per share Next Year
364,anl69_eps_gaap_hi_expected_report_dt,Expected Earnings Report Date
365,anl69_eps_gaap_hi_expected_report_time,Expected Earnings Report Time
366,anl69_eps_gaap_lo_best_crncy_iso,Currency (ISO)
367,anl69_eps_gaap_lo_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
368,anl69_eps_gaap_lo_best_cur_fiscal_year_period,Current Fiscal Year Period Date
369,anl69_eps_gaap_lo_best_eeps_cur_yr,Est Earnings per share Curr Year
370,anl69_eps_gaap_lo_best_eeps_nxt_yr,Est Earnings per share Next Year
373,anl69_eps_gaap_lo_expected_report_dt,Expected Earnings Report Date
374,anl69_eps_gaap_lo_expected_report_time,Expected Earnings Report Time
375,anl69_eps_hi_best_crncy_iso,Currency (ISO)
376,anl69_eps_hi_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
377,anl69_eps_hi_best_cur_fiscal_year_period,Current Fiscal Year Period Date
378,anl69_eps_hi_best_eeps_cur_yr,Est Earnings per share Curr Year
379,anl69_eps_hi_best_eeps_nxt_yr,Est Earnings per share Next Year
382,anl69_eps_hi_expected_report_dt,Expected Earnings Report Date
383,anl69_eps_hi_expected_report_time,Expected Earnings Report Time
385,anl69_eps_lo_best_crncy_iso,Currency (ISO)
386,anl69_eps_lo_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
387,anl69_eps_lo_best_cur_fiscal_year_period,Current Fiscal Year Period Date
388,anl69_eps_lo_best_eeps_cur_yr,Est Earnings per share Curr Year
389,anl69_eps_lo_best_eeps_nxt_yr,Est Earnings per share Next Year
392,anl69_eps_lo_expected_report_dt,Expected Earnings Report Date
393,anl69_eps_lo_expected_report_time,Expected Earnings Report Time
396,anl69_eqy_best_crncy_iso,Currency (ISO)
397,anl69_eqy_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
398,anl69_eqy_best_cur_fiscal_year_period,Current Fiscal Year Period Date
399,anl69_eqy_best_eeps_cur_yr,Est Earnings per share Curr Year
400,anl69_eqy_best_eeps_nxt_yr,Est Earnings per share Next Year
402,anl69_eqy_dvd_ex_flag,Ex-Dividend Flag
403,anl69_eqy_dvd_sh_12m_net,Dividend Per Share 12 Month (Net)
404,anl69_eqy_dvd_sh_last,Dividend Per Share 12 Month (Net)
405,anl69_eqy_dvd_typ_last,Dividend Type
406,anl69_eqy_expected_report_dt,Expected Earnings Report Date
407,anl69_eqy_expected_report_time,Expected Earnings Report Time
408,anl69_eqy_free_float_pct,Free Float Percent
410,anl69_eqy_init_po_dt,Initial Public Offer Date
411,anl69_eqy_last_dps_gross,Dividend Per Share Last (Gross)
414,anl69_eqy_prim_exch,Primary Exchange Name
417,anl69_eqy_sh_out_dt,Current Shares Outstanding Date
418,anl69_eqy_sh_out_tot_mult_sh,Current Shares Outstanding for All Classes
419,anl69_eqy_split_dt,Split Date
420,anl69_eqy_split_ratio,Split Ratio
421,anl69_expected_report_dt,Expected Earnings Report Date
422,anl69_expected_report_time,Expected Earnings Report Time
423,anl69_ffops_best_crncy_iso,Currency (ISO)
424,anl69_ffops_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
425,anl69_ffops_best_cur_fiscal_year_period,Current Fiscal Year Period Date
426,anl69_ffops_best_eeps_cur_yr,Est Earnings per share Curr Year
427,anl69_ffops_best_eeps_nxt_yr,Est Earnings per share Next Year
430,anl69_ffops_expected_report_dt,Expected Earnings Report Date
432,anl69_ffops_expected_report_time,Expected Earnings Report Time
435,anl69_id_bb_company,Bloomberg Company Identifier
436,anl69_id_bb_prim_security_flag,Equity Primary Security Flag
437,anl69_last_dps_gross,Dividend Per Share Last (Gross)
438,anl69_ltg_dif_best_crncy_iso,Currency (ISO)
439,anl69_ltg_dif_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
440,anl69_ltg_dif_best_cur_fiscal_year_period,Current Fiscal Year Period Date
441,anl69_ltg_dif_best_eeps_cur_yr,Est Earnings per share Curr Year
442,anl69_ltg_dif_best_eeps_nxt_yr,Est Earnings per share Next Year
445,anl69_ltg_dif_expected_report_dt,Expected Earnings Report Date
447,anl69_ltg_dif_expected_report_time,Expected Earnings Report Time
451,anl69_m21_hs_dvd,Dividend Per Share 12 Month (Gross)
452,anl69_multiple_share,Company Has Multiple Shares Indicator
453,anl69_name,Name
454,anl69_nav_best_crncy_iso,Currency (ISO)
455,anl69_nav_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
456,anl69_nav_best_cur_fiscal_year_period,Current Fiscal Year Period Date
