,id,description
14,rp_css_assets,Composite sentiment score of assets news
15,rp_css_business,Composite sentiment score of business related news
16,rp_css_credit,Composite sentiment score of credit news
17,rp_css_credit_ratings,Composite sentiment score of credit ratings news
18,rp_css_dividends,Composite sentiment score of dividends news
19,rp_css_earnings,Composite sentiment score of earnings news
20,rp_css_equity,Composite sentiment score of equity action news
21,rp_css_insider,Composite sentiment score of insider trading news
22,rp_css_inverstor,Composite sentiment score of inverstor relations news
23,rp_css_labor,Composite sentiment score of labor issues news
24,rp_css_legal,Composite sentiment score of legal news
25,rp_css_marketing,Composite sentiment score of marketing news
26,rp_css_mna,Composite sentiment score of mergers and aquisitions related news
27,rp_css_partner,Composite sentiment score of partnership news
28,rp_css_price,Composite sentiment score of stock price news
29,rp_css_product,Composite sentiment score of product and service related news
30,rp_css_ptg,Composite sentiment score of price target news
31,rp_css_ratings,Composite sentiment score of analyst ratings related news
32,rp_css_revenue,Composite sentiment score of revenue news
33,rp_css_society,Composite sentiment score of society related news
34,rp_css_technical,Composite sentiment score based on technical analysis
35,rp_ess_assets,Event sentiment score of assets news
36,rp_ess_business,Event sentiment score of business related news
37,rp_ess_credit,Event sentiment score of credit news
38,rp_ess_credit_ratings,Event sentiment score of credit ratings news
39,rp_ess_dividends,Event sentiment score of dividends news
40,rp_ess_earnings,Event sentiment score of earnings news
41,rp_ess_equity,Event sentiment score of equity action news
42,rp_ess_insider,Event sentiment score of insider trading news
43,rp_ess_labor,Event sentiment score of labor issues news
44,rp_ess_legal,Event sentiment score of legal news
45,rp_ess_mna,Event sentiment score of mergers and aquisitions related news
46,rp_ess_partner,Event sentiment score of partnership news
47,rp_ess_price,Event sentiment score of stock price news
48,rp_ess_product,Event sentiment score of product and service related news
49,rp_ess_ptg,Event sentiment score of price target news
50,rp_ess_ratings,Event sentiment score of analyst ratings related news
51,rp_ess_revenue,Event sentiment score of revenue news
52,rp_ess_society,Event sentiment score of society related news
53,rp_ess_technical,Event sentiment score based on technical analysis
54,rp_nip_assets,News impact projection of assets news
55,rp_nip_business,News impact projection of business related news
56,rp_nip_credit,News impact projection of credit news
57,rp_nip_credit_ratings,News impact projection of credit ratings news
58,rp_nip_dividends,News impact projection of dividends news
59,rp_nip_earnings,News impact projection of earnings news
60,rp_nip_equity,News impact projection of equity action news
61,rp_nip_insider,News impact projection of insider trading news
62,rp_nip_inverstor,News impact projection of inverstor relations news
63,rp_nip_labor,News impact projection of labor issues news
64,rp_nip_legal,News impact projection of legal news
65,rp_nip_marketing,News impact projection of marketing news
66,rp_nip_mna,News impact projection of mergers and aquisitions related news
67,rp_nip_partner,News impact projection of partnership news
68,rp_nip_price,News impact projection of stock price news
69,rp_nip_product,News impact projection of product and service related news
70,rp_nip_ptg,News impact projection of price target news
71,rp_nip_ratings,News impact projection of analyst ratings related news
72,rp_nip_revenue,News impact projection of revenue news
73,rp_nip_society,News impact projection of society related news
74,rp_nip_technical,News impact projection based on technical analysis
