,id,description
4,fnd77_q_afinn_commitmentsandcontingenciesdisclosuretextblock,Commitments And Contingencies Disclosure text block
5,fnd77_q_afinn_debtinstrumentfrequencyofperiodicpayment,Debt Instrument Frequency Of Periodic Payment
6,fnd77_q_afinn_fairvaluemeasurementinputsdisclosuretextblock,Fair Value Measurement Inputs Disclosure text block
7,fnd77_q_afinn_financialinstrumentsdisclosuretextblock,Financial Instruments Disclosure text block
8,fnd77_q_afinn_incometaxdisclosuretextblock,Income Tax Disclosure text block
9,fnd77_q_afinn_negative_cnt,Negative count
10,fnd77_q_afinn_otherassetsdisclosuretextblock,Other Assets Disclosure text block
11,fnd77_q_afinn_positive_cnt,Positive count
12,fnd77_q_afinn_scheduleofantidilutivesecuritiesexcludedfromcomputationofearningspersharetextblock,Schedule Of Antidilutive Securities Excluded From Computation Of Earnings Per Sharetext block
13,fnd77_q_afinn_scheduleofnewaccountingpronouncementsandchangesinaccountingprinciplestextblock,Schedule Of New Accounting Pronouncements And Changes In Accounting Principlestext block
14,fnd77_q_afinn_scheduleofsegmentreportinginformationbysegmenttextblock,Schedule Of Segment Reporting Information By Segment text block
15,fnd77_q_afinn_sharebasedcompensationarrangementbysharebasedpaymentawardawardvestingrights,Share Based Compensation Arrangement By Share Based Payment Award Award VestingRights
16,fnd77_q_lm_commitmentsandcontingenciesdisclosuretextblock,Commitments And Contingencies Disclosure text block
17,fnd77_q_lm_fairvaluemeasurementinputsdisclosuretextblock,Fair Value Measurement Inputs Disclosure text block
18,fnd77_q_lm_financialinstrumentsdisclosuretextblock,Financial Instruments Disclosure text block
19,fnd77_q_lm_incometaxdisclosuretextblock,Income Tax Disclosure text block
20,fnd77_q_lm_negative_cnt,negative count
21,fnd77_q_lm_positive_cnt,positive count
22,fnd77_q_lm_scheduleofnewaccountingpronouncementsandchangesinaccountingprinciplestextblock,Schedule Of New Accounting Pronouncements And Changes In Accounting Principlestext block
23,fnd77_q_lm_scheduleofsegmentreportinginformationbysegmenttextblock,Schedule Of Segment Reporting Information By Segment text block
24,fnd77_q_lm_sharebasedcompensationarrangementbysharebasedpaymentawardawardvestingrights,Share Based Compensation Arrangement By Share Based Payment Award Award VestingRights
25,fnd77_q_valid_tag_cnt,Valid tag count
26,fnd77_q_word_cnt_commitmentsandcontingenciesdisclosuretextblock,Commitments And Contingencies Disclosure text block
27,fnd77_q_word_cnt_debtinstrumentfrequencyofperiodicpayment,Debt Instrument Frequency Of Periodic Payment
28,fnd77_q_word_cnt_fairvaluemeasurementinputsdisclosuretextblock,Fair Value Measurement Inputs Disclosure text block
29,fnd77_q_word_cnt_financialinstrumentsdisclosuretextblock,Financial Instruments Disclosure text block
30,fnd77_q_word_cnt_incometaxdisclosuretextblock,Income Tax Disclosure text block
31,fnd77_q_word_cnt_otherassetsdisclosuretextblock,Other Assets Disclosure text block
32,fnd77_q_word_cnt_scheduleofantidilutivesecuritiesexcludedfromcomputationofearningspersharetextblock,Schedule Of Antidilutive Securities Excluded From Computation Of Earnings Per Sharetext block
33,fnd77_q_word_cnt_scheduleofnewaccountingpronouncementsandchangesinaccountingprinciplestextblock,Schedule Of New Accounting Pronouncements And Changes In Accounting Principlestext block
34,fnd77_q_word_cnt_scheduleofsegmentreportinginformationbysegmenttextblock,Schedule Of Segment Reporting Information By Segment text block
35,fnd77_q_word_cnt_sharebasedcompensationarrangementbysharebasedpaymentawardawardvestingrights,Share Based Compensation Arrangement By Share Based Payment Award Award VestingRights
36,fnd77_sentiment_10q_period_report,period end date for the period this filing focuses on
