,id,description
0,oth131_adj_sum_aret_prev_fund_sec_mv12_adj_avg_fundgp_turnover_w_stx,"average owner turnover in the industry group, weighted by Alpha-ROE"
1,oth131_adj_sum_aret_prev_fund_sec_mv12_avg_fund_cap_w_stx,"average owner market cap, weighted by Alpha-ROE"
2,oth131_adj_sum_aret_prev_fund_sec_mv12_avg_fund_turnover_w_stx,"average owner turnover, weighted by Alpha-ROE"
3,oth131_adj_sum_aret_prev_fund_sec_mv12_avg_fundsec_cap_w_stx,"average owner market cap in the sector, weighted by Alpha-ROE"
4,oth131_adj_sum_aret_prev_fund_sec_mv12_avg_weight_delta_w_stx,"change of avg weight across owners, weighted by Alpha-ROE"
5,oth131_adj_sum_aret_prev_fund_sec_mv12_avg_weight_in_fundsec_w_stx,"avg weight in sector across owners, weighted by Alpha-ROE"
6,oth131_adj_sum_aret_prev_fund_sec_mv12_avg_weight_w_stx,"avg weight across owners, weighted by Alpha-ROE"
7,oth131_adj_sum_aret_prev_fund_sec_mv12_cap_delta_4_w_over_adv_stx,"12m level change, conviction-weighted by ADV, weighted by Alpha-ROE"
8,oth131_adj_sum_aret_prev_fund_sec_mv12_cap_delta_w_over_adv_stx,"level change, conviction-weighted by ADV, weighted by Alpha-ROE"
9,oth131_adj_sum_aret_prev_fund_sec_mv12_intensity_w_delta_4_stx,"12m change of percentage of float-adjusted number of shares outstanding held by the owners, weighted by Alpha-ROE"
10,oth131_adj_sum_aret_prev_fund_sec_mv12_intensity_w_delta_stx,"3m change of percentage of float-adjusted number of shares outstanding held by the owners, weighted by Alpha-ROE"
11,oth131_adj_sum_aret_prev_fund_sec_mv12_intensity_w_stx,"percentage of float-adjusted number of shares outstanding held by the owners, weighted by Alpha-ROE"
12,oth131_adj_sum_aret_prev_fund_sec_mv12_level_delta_4_w_stx,"12m change of market value held in aggregate by owners, weighted by Alpha-ROE"
13,oth131_adj_sum_aret_prev_fund_sec_mv12_level_delta_w_stx,"3m change of market value held in aggregate by owners, weighted by Alpha-ROE"
14,oth131_adj_sum_aret_prev_fund_sec_mv12_level_w_stx,"market value held in aggregate by owners, weighted by Alpha-ROE"
15,oth131_adj_sum_aret_prev_fund_sec_mv12_num_shares_delta_4_up_w_stx,"# of owners who have increased their positions in the stock in the last 12m, weighted by Alpha-ROE"
16,oth131_adj_sum_aret_prev_fund_sec_mv12_num_shares_delta_up_w_stx,"# of owners who have increased their positions in the stock in the last 3m, weighted by Alpha-ROE"
17,oth131_adj_sum_aret_prev_fund_sec_mv12_popularity_w_delta_4_stx,"12m change of number of owners holding the stock, weighted by Alpha-ROE"
