,id,description
0,pv96_acquisition_c_flag,Flag
1,pv96_acquisition_cp_stat,Merger Status
2,pv96_acquisition_cpat,Acquisition Type
3,pv96_acquisition_pmoc_bb_di_pc,Company ID
4,pv96_acquisition_status,Status of acquisition
6,pv96_bbg_dvd_cash_cg_amt,Gross Amount
7,pv96_bbg_dvd_cash_cpd,Payment Date
8,pv96_bbg_dvd_cash_cr_dt,Record Date
9,pv96_bbg_dvd_cash_jda_pc,Adjustment Factor
10,pv96_bbg_dvd_cash_pyt_dvd_pc,Dividend Type
11,pv96_bbg_dvd_cash_qerf_pc,Frequency
12,pv96_bbg_dvd_cash_td_jda_pc,Adjustment Date
13,pv96_bbg_dvd_cash_ycnrc_dvd_pc,Dividend Currency
14,pv96_composite_fmap,FigiMap
15,pv96_cps,Percent Sought
16,pv96_cso,Dividend Reinvesting
17,pv96_dvd_cash_cindicator,Indicator
18,pv96_dvd_cash_status,Status of cash dividend
27,pv96_figi_map,Figimap
28,pv96_g_acquisition_ycnrc_pc,Coupon Currency
29,pv96_mun_pmoc_bb_di_pc,Company ID
30,pv96_share_class_fmap,FigiMap
31,pv96_ticketmap,Ticker Map
